ID,Source IP,Destination IP,TTL,TOS,Source Port,Destination Port,Flags,Protocol
ID,Source IP,Destination IP,TTL,TOS,Source Port,Destination Port,Flags,Protocol
ID,Source IP,Destination IP,TTL,TOS,Source Port,Destination Port,Flags,Protocol
7958,44.215.129.188,10.0.2.15,64,0,443,47794,-A-,TCP
7959,44.215.129.188,10.0.2.15,64,0,443,55970,SA-,TCP
7802,10.0.2.15,44.215.129.188,64,0,47794,443,-A-,TCP
45837,10.0.2.15,44.215.129.188,64,0,55970,443,-A-,TCP
45838,10.0.2.15,44.215.129.188,64,0,55970,443,-A-,TCP
7960,44.215.129.188,10.0.2.15,64,0,443,55970,-A-,TCP
7961,44.215.129.188,10.0.2.15,64,0,443,55970,-A-,TCP
7962,44.215.129.188,10.0.2.15,64,0,443,55970,-A-,TCP
45840,10.0.2.15,44.215.129.188,64,0,55970,443,-A-,TCP
45841,10.0.2.15,44.215.129.188,64,0,55970,443,-A-,TCP
7963,44.215.129.188,10.0.2.15,64,0,443,55970,-A-,TCP
7964,44.215.129.188,10.0.2.15,64,0,443,55970,-A-,TCP
45842,10.0.2.15,44.215.129.188,64,0,55970,443,-A-,TCP
56590,10.0.2.15,44.215.116.37,64,0,54514,443,-A-,TCP
7965,44.215.116.37,10.0.2.15,64,0,443,54514,-A-,TCP
4337,10.0.2.15,54.239.17.248,64,0,57032,443,-A-,TCP
39855,10.0.2.15,54.239.17.248,64,0,57054,443,-A-,TCP
7966,54.239.17.248,10.0.2.15,64,0,443,57032,-A-,TCP
7967,54.239.17.248,10.0.2.15,64,0,443,57054,-A-,TCP
45427,10.0.2.15,192.229.211.108,64,0,55320,80,-A-,TCP
7968,192.229.211.108,10.0.2.15,64,0,80,55320,-A-,TCP
48427,10.0.2.15,35.212.37.81,64,0,44608,443,-A-,TCP
7969,35.212.37.81,10.0.2.15,64,0,443,44608,-A-,TCP
31851,10.0.2.15,3.161.8.128,64,0,46168,80,-A-,TCP
54959,10.0.2.15,189.202.184.139,64,0,46956,80,-A-,TCP
13458,10.0.2.15,189.202.184.139,64,0,46946,80,-A-,TCP
38346,10.0.2.15,189.202.184.139,64,0,37450,80,-A-,TCP
7970,3.161.8.128,10.0.2.15,64,0,80,46168,-A-,TCP
7971,189.202.184.139,10.0.2.15,64,0,80,46956,-A-,TCP
7972,189.202.184.139,10.0.2.15,64,0,80,46946,-A-,TCP
7973,189.202.184.139,10.0.2.15,64,0,80,37450,-A-,TCP
1794,10.0.2.15,44.215.129.38,64,0,34594,443,-A-,TCP
7974,44.215.129.38,10.0.2.15,64,0,443,34594,-A-,TCP
63900,10.0.2.15,34.117.121.53,64,0,40454,443,-A-,TCP
7975,34.117.121.53,10.0.2.15,64,0,443,40454,-A-,TCP
38515,10.0.2.15,10.206.133.89,64,0,50367,53,-,UDP
44580,10.0.2.15,10.206.133.89,64,0,60651,53,-,UDP
51740,10.0.2.15,34.107.221.82,64,0,60640,80,-A-,TCP
7976,34.107.221.82,10.0.2.15,64,0,80,60640,-A-,TCP
7977,34.117.121.53,10.0.2.15,64,0,443,40454,-A-,TCP
63901,10.0.2.15,34.117.121.53,64,0,40454,443,-A-,TCP
7978,34.107.221.82,10.0.2.15,64,0,80,60640,-A-,TCP
51741,10.0.2.15,34.107.221.82,64,0,60640,80,-A-,TCP
25327,10.0.2.15,10.206.133.89,64,0,34494,53,-,UDP
12677,10.0.2.15,34.107.221.82,64,0,60642,80,-A-,TCP
64472,10.0.2.15,10.206.133.89,64,0,32916,53,-,UDP
7979,34.107.221.82,10.0.2.15,64,0,80,60642,-A-,TCP
31877,10.0.2.15,10.206.133.89,64,0,40456,53,-,UDP
49870,10.0.2.15,10.206.133.89,64,0,59405,53,-,UDP
7980,34.107.221.82,10.0.2.15,64,0,80,60642,-A-,TCP
12678,10.0.2.15,34.107.221.82,64,0,60642,80,-A-,TCP
7981,10.206.133.89,10.0.2.15,64,0,53,34494,-,UDP
7982,10.206.133.89,10.0.2.15,64,0,53,59405,-,UDP
7983,10.206.133.89,10.0.2.15,64,0,53,40456,-,UDP
7984,10.206.133.89,10.0.2.15,64,0,53,32916,-,UDP
7985,10.206.133.89,10.0.2.15,64,0,53,60651,-,UDP
7986,10.206.133.89,10.0.2.15,64,0,53,50367,-,UDP
8285,10.0.2.15,52.72.121.58,64,0,42416,443,-A-,TCP
7987,52.72.121.58,10.0.2.15,64,0,443,42416,-A-,TCP
21243,10.0.2.15,44.217.193.65,64,0,47372,443,-A-,TCP
21244,10.0.2.15,44.217.193.65,64,0,47372,443,-A-,TCP
21245,10.0.2.15,44.217.193.65,64,0,47372,443,-A-,TCP
7988,44.217.193.65,10.0.2.15,64,0,443,47372,-A-,TCP
7989,44.217.193.65,10.0.2.15,64,0,443,47372,-A-,TCP
7990,44.217.193.65,10.0.2.15,64,0,443,47372,-A-,TCP
7991,52.72.121.58,10.0.2.15,64,0,443,42416,-A-,TCP
8286,10.0.2.15,52.72.121.58,64,0,42416,443,-A-,TCP
7992,44.217.193.65,10.0.2.15,64,0,443,47372,-A-,TCP
21246,10.0.2.15,44.217.193.65,64,0,47372,443,-A-,TCP
7993,44.217.193.65,10.0.2.15,64,0,443,47372,-A-,TCP
21247,10.0.2.15,44.217.193.65,64,0,47372,443,-A-,TCP
6211,10.0.2.15,3.161.8.128,64,0,46182,80,-A-,TCP
64151,10.0.2.15,3.161.8.128,64,0,39102,80,-A-,TCP
7994,3.161.8.128,10.0.2.15,64,0,80,46182,-A-,TCP
7995,3.161.8.128,10.0.2.15,64,0,80,39102,-A-,TCP
45843,10.0.2.15,44.215.129.188,64,0,55970,443,-A-,TCP
45844,10.0.2.15,44.215.129.188,64,0,55970,443,-A-,TCP
7996,44.215.129.188,10.0.2.15,64,0,443,55970,-A-,TCP
7997,44.215.129.188,10.0.2.15,64,0,443,55970,-A-,TCP
7998,44.215.129.188,10.0.2.15,64,0,443,55970,-A-,TCP
0,10.0.2.15,44.215.129.188,64,0,55970,443,-A-,TCP
35338,10.0.2.15,3.161.8.128,64,0,46150,80,-A-,TCP
14738,10.0.2.15,3.161.8.128,64,0,46134,80,-A-,TCP
7999,3.161.8.128,10.0.2.15,64,0,80,46150,-A-,TCP
8000,3.161.8.128,10.0.2.15,64,0,80,46134,-A-,TCP
37813,10.0.2.15,38.71.2.199,64,0,37294,443,-A-,TCP
3725,10.0.2.15,44.215.129.188,64,0,47810,443,-A-,TCP
57001,10.0.2.15,192.178.56.227,64,0,36586,80,-A-,TCP
